id,type,source,target
906302,\,209210,209375
906303,/,209375,209210
906304,\,209214,209375
906305,/,209375,209214
906306,\,209383,209380
906307,/,209380,209383
906308,\,209382,209380
906309,/,209380,209382
906310,\,209384,209380
906311,/,209380,209384
906312,\,209385,209380
906313,/,209380,209385
906314,\,209386,209380
906315,/,209380,209386
906316,\,209387,209380
906317,/,209380,209387
906318,\,209411,209409
906319,/,209409,209411
906320,\,209410,209409
906321,/,209409,209410
906322,\,209413,209412
906323,/,209412,209413
906324,\,209415,209414
906325,/,209414,209415
906326,\,209417,209414
906327,/,209414,209417
906328,\,209418,209414
906329,/,209414,209418
906330,\,209419,209414
906331,/,209414,209419
906332,\,209416,209414
906333,/,209414,209416
906334,\,209209,209207
906335,/,209207,209209
906336,\,455870,455869
906337,/,455869,455870
906338,\,455871,455869
906339,/,455869,455871
906340,\,209189,455869
906341,/,455869,209189
906342,\,208982,208888
906343,/,208888,208982
906344,\,208981,208888
906345,/,208888,208981
906346,\,208980,208888
906347,/,208888,208980
906348,\,208991,208888
906349,/,208888,208991
906350,\,208992,208888
906351,/,208888,208992
906352,\,208993,208888
906353,/,208888,208993
906354,\,208988,208888
906355,/,208888,208988
906356,\,208990,208888
906357,/,208888,208990
906358,\,208989,208888
906359,/,208888,208989
906360,\,208994,208888
906361,/,208888,208994
906362,\,208984,208888
906363,/,208888,208984
906364,\,208986,208888
906365,/,208888,208986
906366,\,208987,208888
906367,/,208888,208987
906368,\,208995,208888
906369,/,208888,208995
906370,\,208985,208888
906371,/,208888,208985
906372,\,208929,208888
906373,/,208888,208929
906374,\,208934,208888
906375,/,208888,208934
906376,\,208932,208888
906377,/,208888,208932
906378,\,208933,208888
906379,/,208888,208933
906380,\,208931,208888
906381,/,208888,208931
906382,\,208897,208888
906383,/,208888,208897
906384,\,208898,208888
906385,/,208888,208898
906386,\,208899,208888
906387,/,208888,208899
906388,\,208901,208888
906389,/,208888,208901
906390,\,208903,208888
906391,/,208888,208903
906392,\,208900,208888
906393,/,208888,208900
906394,\,208902,208888
906395,/,208888,208902
906396,\,208962,208888
906397,/,208888,208962
906398,\,208964,208888
906399,/,208888,208964
906400,\,208975,208888
906401,/,208888,208975
906402,\,208977,208888
906403,/,208888,208977
906404,\,208976,208888
906405,/,208888,208976
906406,\,208965,208888
906407,/,208888,208965
906408,\,208973,208888
906409,/,208888,208973
906410,\,208974,208888
906411,/,208888,208974
906412,\,208968,208888
906413,/,208888,208968
906414,\,208969,208888
906415,/,208888,208969
906416,\,209094,208888
906417,/,208888,209094
906418,\,209095,208888
906419,/,208888,209095
906420,\,209096,208888
906421,/,208888,209096
906422,\,209097,208888
906423,/,208888,209097
906424,\,209104,208888
906425,/,208888,209104
906426,\,209103,208888
906427,/,208888,209103
906428,\,209098,208888
906429,/,208888,209098
906430,\,209100,208888
906431,/,208888,209100
906432,\,209101,208888
906433,/,208888,209101
906434,\,209102,208888
906435,/,208888,209102
906436,\,208904,208888
906437,/,208888,208904
906438,\,208905,208888
906439,/,208888,208905
906440,\,208907,208888
906441,/,208888,208907
906442,\,208911,208888
906443,/,208888,208911
906444,\,208910,208888
906445,/,208888,208910
906446,\,208919,208888
906447,/,208888,208919
906448,\,208918,208888
906449,/,208888,208918
906450,\,208917,208888
906451,/,208888,208917
906452,\,208920,208888
906453,/,208888,208920
906454,\,208921,208888
906455,/,208888,208921
906456,\,208922,208888
906457,/,208888,208922
906458,\,208924,208888
906459,/,208888,208924
906460,\,208925,208888
906461,/,208888,208925
906462,\,208912,208888
906463,/,208888,208912
906464,\,208913,208888
906465,/,208888,208913
906466,\,208909,208888
906467,/,208888,208909
906468,\,208915,208888
906469,/,208888,208915
906470,\,208916,208888
906471,/,208888,208916
906472,\,209021,208888
906473,/,208888,209021
906474,\,209022,208888
906475,/,208888,209022
906476,\,209028,208888
906477,/,208888,209028
906478,\,209029,208888
906479,/,208888,209029
906480,\,209024,208888
906481,/,208888,209024
906482,\,209025,208888
906483,/,208888,209025
906484,\,209026,208888
906485,/,208888,209026
906486,\,209023,208888
906487,/,208888,209023
906488,\,209027,208888
906489,/,208888,209027
906490,\,209031,208888
906491,/,208888,209031
906492,\,209037,208888
906493,/,208888,209037
906494,\,209030,208888
906495,/,208888,209030
906496,\,209034,208888
906497,/,208888,209034
906498,\,209032,208888
906499,/,208888,209032
906500,\,209033,208888
906501,/,208888,209033
906502,\,209036,208888
906503,/,208888,209036
906504,\,209035,208888
906505,/,208888,209035
906506,\,209054,208888
906507,/,208888,209054
906508,\,209053,208888
906509,/,208888,209053
906510,\,209048,208888
906511,/,208888,209048
906512,\,209052,208888
906513,/,208888,209052
906514,\,209050,208888
906515,/,208888,209050
906516,\,209051,208888
906517,/,208888,209051
906518,\,209049,208888
906519,/,208888,209049
906520,\,209044,208888
906521,/,208888,209044
906522,\,209045,208888
906523,/,208888,209045
906524,\,209041,208888
906525,/,208888,209041
906526,\,209039,208888
906527,/,208888,209039
906528,\,209038,208888
906529,/,208888,209038
906530,\,209042,208888
906531,/,208888,209042
906532,\,209043,208888
906533,/,208888,209043
906534,\,209040,208888
906535,/,208888,209040
906536,\,209046,208888
906537,/,208888,209046
906538,\,209047,208888
906539,/,208888,209047
906540,\,208895,208888
906541,/,208888,208895
906542,\,208896,208888
906543,/,208888,208896
906544,\,208889,208888
906545,/,208888,208889
906546,\,208892,208888
906547,/,208888,208892
906548,\,208891,208888
906549,/,208888,208891
906550,\,208893,208888
906551,/,208888,208893
906552,\,208894,208888
906553,/,208888,208894
906554,\,208890,208888
906555,/,208888,208890
906556,\,209006,208888
906557,/,208888,209006
906558,\,209004,208888
906559,/,208888,209004
906560,\,209000,208888
906561,/,208888,209000
906562,\,208998,208888
906563,/,208888,208998
906564,\,208999,208888
906565,/,208888,208999
906566,\,209002,208888
906567,/,208888,209002
906568,\,209003,208888
906569,/,208888,209003
906570,\,209005,208888
906571,/,208888,209005
906572,\,209018,208888
906573,/,208888,209018
