03,शारिकानाथ,n,n-----m--a,,,,/ɕɑː.ɹi.kɑː.nɑː.t̪ʰə/,शारिका-नाथ,0
427424,131482,शासनदूषक,a,ap----a--a,,,,/ɕɑː.sə.nə.d̪uː.ʂə.kə/,शा॔सन-दूषक,0
427425,,शासनहर,a,ap----a--a,,,,/ɕɑː.sə.nə.ɦə.ɹə/,शा॔सन-हर,0
427426,,शासनहारक,a,ap----a--a,,,,/ɕɑː.sə.nə.ɦɑː.ɹə.kə/,शा॔सन-हारक,0
427427,,शासनहारिन्,a,ap----a--n,,,,/ɕɑː.sə.nə.ɦɑː.ɹin/,शा॔सन-हारिन्,0
427428,131488,शासनलङ्घन,n,n-----n--a,,,,/ɕɑː.sə.nə.ləŋ.gʰə.nə/,शा॔सन-लङ्घन,0
427429,,शासनपराङ्मुख,a,ap----a--a,,ap----f--ī=>ी,,/ɕɑː.sə.nə.pə.ɹɑːŋ.mu.kʰə/,शा॔सन-पराङ्मुख,0
427430,131486,शासनपत्त्र,n,n-----n--a,,,,/ɕɑː.sə.nə.ˈpət̪.t̪ɹə/,शा॔सन-पत्त्र,0
427431,,शासनवर्तिन्,a,ap----a--n,,,,/ɕɑː.sə.nə.ˈʋəɹ.t̪in/,शा॔सन-वर्तिन्,0
427432,,शासनवाहक,a,ap----a--a,,,,/ɕɑː.sə.nə.ʋɑː.ɦə.kə/,शा॔सन-वाहक,0
427433,131491,शासनशिला,n,n-----f--ā,,,,/ɕɑː.sə.nə.ɕi.lɑː/,शा॔सन-शिला,0
427434,,शासनातिवृत्ति,n,n-----f--i,,,,/ɕɑː.sə.nɑː.t̪i.ˈʋɹ̩t̪.t̪i/,शासनातिवृत्ति,0
427435,132504,शासनी,n,n-----f--ī,,,,/ɕɑː.sə.niː/,शा॔सनी,0
427436,,शासनीय,a,ap----a--a,,,,/ɕɑː.sə.niː.jə/,शासनीय,0
427437,131499,शासिन्,a,ap----a--n,,,,/ɕɑː.sin/,शासिन्,0
427438,131496,शासित,a,ap----a--a,,,,/ɕɑː.si.t̪ə/,शासित,0
427439,,शासितव्य,a,ap----a--a,,,,/ɕɑː.si.ˈt̪əʋ.jə/,शासितव्य,0
427440,131498,शासितृ,n,n-----m--r,,,,/ɕɑː.si.t̪ɹ̩/,शासितृ,0
427441,131501,शास्ति,n,n-----f--i,,,,/ɕɑːs.t̪i/,शास्ति,0
427442,131502,शास्ति,n,n-----m--i,,,,/ɕɑːs.t̪i/,शास्ति,0
427443,131506,शास्त्र,n,n-----n--a,,,,/ɕɑːs.t̪ɹə/,शास्त्र॔,0
427444,,शास्त्रबुद्धि,n,n-----f--i,,,,/ɕɑːs.t̪ɹə.ˈbud̪.d̪ʰi/,शास्त्र॔-बुद्धि,0
427445,,शास्त्रचक्षुस्,a,ap----a-su,,,,/ɕɑːs.t̪ɹə.ˈt͡ɕək.ʂus/,शास्त्र॔-चक्षुस्,0
427446,132506,शास्त्रचक्षुस्,n,n-----n-su,,,,/ɕɑːs.t̪ɹə.ˈt͡ɕək.ʂus/,शास्त्र॔-चक्षुस्,0
427447,131514,शास्त्रचौर,n,n-----m--a,,,,/ɕɑːs.t̪ɹə.ˈt͡ɕəौ.ɹə/,शास्त्र॔-चौर,0
427448,,शास्त्रचिन्तक,n,n-----m--a,,,,/ɕɑːs.t̪ɹə.t͡ɕin.t̪ə.kə/,शास्त्र॔-चिन्तक,0
427449,,शास्त्रचारण,a,ap----a--a,,,,/ɕɑːs.t̪ɹə.t͡ɕɑː.ɹə.ɳə/,शास्त्र॔-चारण,0
427450,131519,शास्त्रदर्पण,n,n-----m--a,,,,/ɕɑːs.t̪ɹə.ˈd̪əɹ.pə.ɳə/,शास्त्र॔-दर्पण,0
427451,,शास्त्रदर्शन,n,n-----n--a,,,,/ɕɑːs.t̪ɹə.d̪ə.ɹɕə.nə/,शास्त्र॔-दर्शन,0
427452,,शास्त्रदर्शनात्,r,rp--------,,,,/ɕɑːs.t̪ɹə.d̪ə.ɹɕə.nɑːt̪/,शास्त्र॔-दर्शनात्,0
427453,,शास्त्रदर्शिन्,a,ap----a--n,,,,/ɕɑːs.t̪ɹə.d̪ə.ɹɕin/,शास्त्र॔-दर्शिन्,0
428510,126587,शूलिन,n,n-----m--a,,,,/ɕuː.li.nə/,शूलिन,0
427454,,शास्त्रदस्यु,n,n-----m--u,,,,/ɕɑːs.t̪ɹə.ˈd̪əs.ju/,शास्त्र॔-दस्यु,0
427455,132511,शास्त्रदीप,n,n-----m--a,,,,/ɕɑːs.t̪ɹə.d̪iː.pə/,शास्त्र॔-दीप,0
427456,131522,शास्त्रदीपिका,n,n-----f--ā,,,,/ɕɑːs.t̪ɹə.d̪iː.pi.kɑː/,शास्त्र॔-दीपिका,0
427457,,शास्त्रदीपार्थसार,n,n-----m--a,,,,/ɕɑːs.t̪ɹə.d̪iː.pɑːɹ.t̪ʰə.sɑː.ɹə/,शास्त्र॔-दीपार्थ-सार,0
427458,,शास्त्रदृष्ट,a,ap----a--a,,,,/ɕɑːs.t̪ɹə.ˈd̪ɹ̩ʂ.ʈə/,शास्त्र॔-दृष्ट,0
427459,,शास्त्रदृष्टि,n,n-----f--i,,,,/ɕɑːs.t̪ɹə.ˈd̪ɹ̩ʂ.ʈi/,शास्त्र॔-दृष्टि,0
427460,,शास्त्रदृष्टि,a,ap----a--i,,,,/ɕɑːs.t̪ɹə.ˈd̪ɹ̩ʂ.ʈi/,शास्त्र॔-दृष्टि,0
427461,132515,शास्त्रदृष्टि,n,n-----m--i,,,,/ɕɑːs.t̪ɹə.ˈd̪ɹ̩ʂ.ʈi/,शास्त्र॔-दृष्टि,0
427462,131510,शास्त्रगञ्ज,n,n-----m--a,,,,/ɕɑːs.t̪ɹə.gəɲ.d͡ʑə/,शास्त्र॔-गञ्ज,0
427463,131511,शास्त्रगण्ड,n,n-----m--a,,,,/ɕɑːs.t̪ɹə.ˈgəɳ.ɖə/,शास्त्र॔-गण्ड,0
427464,131515,शास्त्रजलधिरत्न,n,n-----n--a,,,,/ɕɑːs.t̪ɹə.d͡ʑə.lə.d̪ʰi.ˈɹət̪.nə/,शास्त्र॔-जलधि-रत्न,0
427465,,शास्त्रज्ञ,a,ap----a--a,,,,/ɕɑːs.ˈt̪ɹəd͡ʑ.ɲə/,शास्त्र॔-ज्ञ,0
427466,,शास्त्रज्ञत्व,n,n-----n--a,,,,/ɕɑːs.ˈt̪ɹəd͡ʑ.ˈɲət̪.ʋə/,शास्त्र॔-ज्ञ-त्व,0
427467,,शास्त्रज्ञता,n,n-----f--ā,,,,/ɕɑːs.ˈt̪ɹəd͡ʑ.ɲə.t̪ɑː/,शास्त्र॔-ज्ञ-ता,0
427468,,शास्त्रज्ञान,n,n-----n--a,,,,/ɕɑːs.ˈt̪ɹəd͡ʑ.ɲɑː.nə/,शास्त्र॔-ज्ञान,0
427469,,शास्त्रकोविद,a,ap----a--a,,,,/ɕɑːs.t̪ɹə.koː.ʋi.d̪ə/,शास्त्र॔-कोविद,0
427470,132512,शास्त्रक्रोड,n,n-----m--a,,,,/ɕɑːs.ˈt̪ɹək.ɹoː.ɖə/,शास्त्र॔-क्रोड,0
427471,131507,शास्त्रकार,n,n-----m--a,,,,/ɕɑːs.t̪ɹə.kɑː.ɹə/,शास्त्र॔-कार,0
427472,131508,शास्त्रकृत्,n,n-----m--c,,,,/ɕɑːs.t̪ɹə.kɹ̩t̪/,शास्त्र॔-कृत्,0
427473,,शास्त्रलोक,n,n-----m--a,,,,/ɕɑːs.t̪ɹə.loː.kə/,शास्त्र॔-लोक,0
427474,,शास्त्रमति,a,ap----a--i,,,,/ɕɑːs.t̪ɹə.mə.t̪i/,शास्त्र॔-मति,0
427475,132517,शास्त्रमाला,n,n-----f--ā,,,,/ɕɑːs.t̪ɹə.mɑː.lɑː/,शास्त्र॔-माला,0
427476,,शास्त्रमालावृत्ति,n,n-----f--i,,,,/ɕɑːs.t̪ɹə.mɑː.lɑː.ˈʋɹ̩t̪.t̪i/,शास्त्र॔-माला-वृत्ति,0
427477,,शास्त्रनेत्र,a,ap----a--a,,,,/ɕɑːs.t̪ɹə.neːt̪.ɹə/,शास्त्र॔-नेत्र,0
427478,,शास्त्रनिन्दा,n,n-----f--ā,,,,/ɕɑːs.t̪ɹə.nin.d̪ɑː/,शास्त्र॔-निन्दा,0
