,भूमिपतित्व,n,n-----n--a,,,,/bʱuː.mi.pə.ˈt̪it̪.ʋə/,भूमि-पति-त्व,0
232660,,भूरिधामन्,a,ap----a--n,,,,/bʱuː.ɹi.d̪ʰɑː.mən/,भू॔रि-धामन्,0
232661,25604,भूरिधामन्,n,n-----m--n,,,,/bʱuː.ɹi.d̪ʰɑː.mən/,भू॔रि-धामन्,0
232662,,भूरिधार,a,ap----a--a,,ap----f--ā=>ा,,/bʱuː.ɹi.d̪ʰɑː.ɹə/,भू॔रि-धार,0
232663,,भूरिधायस्,a,ap----a-sa,,,,/bʱuː.ɹi.d̪ʰɑː.jəs/,भू॔रि-धायस्,0
232664,25600,भूरिदुग्धा,n,n-----f--ā,,,,/bʱuː.ɹi.ˈd̪ug.d̪ʰɑː/,भू॔रि-दुग्धा,0
232665,25601,भूरिद्युम्न,n,n-----m--a,,,,/bʱuː.ˈɹid̪.jum.nə/,भू॔रि-द्युम्न,0
232666,,भूरिदा,a,ap----a--ā,,,,/bʱuː.ɹi.d̪ɑː/,भू॔रि-दा॔,0
232667,25598,भूरिदात्र,a,ap----a--a,,,,/bʱuː.ɹi.d̪ɑːt̪.ɹə/,भू॔रि-दात्र,0
232668,,भूरिदावन्,a,ap----a--n,,ap----f--ī=>री,,/bʱuː.ɹi.d̪ɑː.ʋən/,भू॔रि-दा॔वन्,0
232669,,भूरिदावत्,a,ap----a--c,,,,/bʱuː.ɹi.d̪ɑː.ʋət̪/,भू॔रि-दा॔वत्,0
232670,,भूरिदावत्तर,a,ap----a--a,,,,/bʱuː.ɹi.d̪ɑː.ˈʋət̪.t̪ə.ɹə/,भू॔रि-दा॔वत्-तर,0
232671,25582,भूरिगद्गदम्,r,rp--------,,,,/bʱuː.ɹi.ˈgəd̪.gə.d̪əm/,भू॔रि-गद्गदम्,0
232672,25584,भूरिगम,n,n-----m--a,,,,/bʱuː.ɹi.gə.mə/,भू॔रि-गम,0
232673,25583,भूरिगन्धा,n,n-----f--ā,,,,/bʱuː.ɹi.gən.d̪ʰɑː/,भू॔रि-गन्धा,0
232674,25585,भूरिगु,a,ap----a--u,,,,/bʱuː.ɹi.gu/,भू॔रि-गु,0
232675,25586,भूरिगुण,a,ap----a--a,,,,/bʱuː.ɹi.gu.ɳə/,भू॔रि-गुण,0
232676,210254,भूरिहन्,n,n-----m--n,,,,/bʱuː.ɹi.ɦən/,भू॔रि-हन्,0
232677,25668,भूरिज्,n,n-----f--c,,,,/bʱuː.ɹid͡ʑ/,भूरिज्,0
232678,25588,भूरिज,a,ap----a--a,,,,/bʱuː.ɹi.d͡ʑə/,भू॔रि-ज,0
232679,,भूरिजन्मन्,a,ap----a--n,,,,/bʱuː.ɹi.d͡ʑən.mən/,भू॔रि-जन्मन्,0
232680,25590,भूरिज्येष्ठ,n,n-----m--a,,,,/bʱuː.ˈɹid͡ʑ.jeːʂ.ʈʰə/,भू॔रि-ज्येष्ठ,0
232681,25655,भूरिक,n,n-----m--a,,,,/bʱuː.ɹi.kə/,भूरिक,0
232682,,भूरिकर्मन्,a,ap----a--n,,,,/bʱuː.ɹi.ˈkəɹ.mən/,भू॔रि-कर्मन्,0
232683,25580,भूरिकालम्,r,rp--------,,,,/bʱuː.ɹi.kɑː.ləm/,भू॔रि-कालम्,0
232684,,भूरिकृत्रिममाणिक्यमय,a,ap----a--a,,ap----f--ī=>ी,,/bʱuː.ɹi.ˈkɹ̩t̪.ɹi.mə.mɑː.ˈɳik.jə.mə.jə/,भू॔रि-कृत्रिम-माणिक्य-मय,0
232685,25634,भूरिलग्ना,n,n-----f--ā,,,,/bʱuː.ɹi.ˈləg.nɑː/,भू॔रि-लग्ना,0
232686,25637,भूरिलोह,n,n-----n--a,,,,/bʱuː.ɹi.loː.ɦə/,भू॔रि-लोह,0
232687,,भूरिलाभ,a,ap----a--a,,,,/bʱuː.ɹi.lɑː.bʱə/,भू॔रि-लाभ,0
232688,,भूरिलाभ,n,n-----m--a,,,,/bʱuː.ɹi.lɑː.bʱə/,भू॔रि-लाभ,0
232689,25627,भूरिमल्ली,n,n-----f--ī,,,,/bʱuː.ɹi.ˈməl.liː/,भू॔रि-मल्ली,0
232690,25628,भूरिमाय,n,n-----m--a,,,n-----f--ā=भूरिमायआ,/bʱuː.ɹi.mɑː.jə/,भू॔रि-माय,0
232691,25629,भूरिमूल,a,ap----a--a,,,,/bʱuː.ɹi.muː.lə/,भू॔रि-मूल,0
232692,25630,भूरिमूलिका,n,n-----f--ā,,,,/bʱuː.ɹi.muː.li.kɑː/,भू॔रि-मूलिका,0
232693,25607,भूरिनिधन,a,ap----a--a,,,,/bʱuː.ɹi.ni.d̪ʰə.nə/,भू॔रि-निधन,0
232694,25609,भूरिपलितदा,n,n-----f--ā,,,,/bʱuː.ɹi.pə.li.t̪ə.d̪ɑː/,भू॔रि-पलित-दा,0
232695,25608,भूरिपत्त्र,n,n-----m--a,,,,/bʱuː.ɹi.ˈpət̪.t̪ɹə/,भू॔रि-पत्त्र,0
232696,25620,भूरिफली,n,n-----f--ī,,,,/bʱuː.ɹi.pʰə.liː/,भू॔रि-फली,0
232697,25621,भूरिफेना,n,n-----f--ā,,,,/bʱuː.ɹi.pʰeː.nɑː/,भू॔रि-फेना,0
232698,,भूरिपोषिन्,a,ap----a--n,,,,/bʱuː.ɹi.poː.ʂin/,भू॔रि-पोषि॔न्,0
232699,25618,भूरिप्रयोग,a,ap----a--a,,,,/bʱuː.ˈɹip.ɹə.joː.gə/,भू॔रि-प्रयोग,0
232700,25617,भूरिप्रयोग,n,n-----m--a,,,,/bʱuː.ˈɹip.ɹə.joː.gə/,भू॔रि-प्रयोग,0
232701,,भूरिप्रयोगगणधातुटीका,n,n-----f--ā,,,,/bʱuː.ˈɹip.ɹə.joː.gə.gə.ɳə.d̪ʰɑː.t̪u.ʈiː.kɑː/,भू॔रि-प्रयोग-गण-धातु-टीका,0
232702,,भूरिप्रयोगत्व,n,n-----n--a,,,,/bʱuː.ˈɹip.ɹə.joː.ˈgət̪.ʋə/,भू॔रि-प्रयोग-त्व,0
232703,25619,भूरिप्रेमन्,n,n-----m--n,,,,/bʱuː.ˈɹip.ɹeː.mən/,भू॔रि-प्रेमन्,0
232704,25613,भूरिपुत्र,a,ap----a--a,,ap----f--ā=>ा,,/bʱuː.ɹi.ˈput̪.ɹə/,भू॔रि-पुत्र,0
232705,25614,भूरिपुष्पा,n,n-----f--ā,,,,/bʱuː.ɹi.ˈpuʂ.pɑː/,भू॔रि-पुष्पा,0
232706,25611,भूरिपादात,a,ap----a--a,,,,/bʱuː.ɹi.pɑː.d̪ɑː.t̪ə/,भू॔रि-पादात,0
232707,25612,भूरिपाश,n,n-----m--a,,,,/bʱuː.ɹi.pɑː.ɕə/,भू॔रि-पाश,0
232708,,भूरिपाणि,a,ap----a--i,,,,/bʱuː.ɹi.pɑː.ɳi/,भू॔रि-पाणि,0
232709,25631,भूरिरस,n,n-----m--a,,,,/bʱuː.ɹi.ɹə.sə/,भू॔रि-रस,0
232710,25633,भूरिरेतस्,a,ap----a-sa,,,,/bʱuː.ɹi.ɹeː.t̪əs/,भू॔रि-रेतस्,0
232711,25632,भूरिराम,n,n-----m--a,,,,/bʱuː.ɹi.ɹɑː.mə/,भू॔रि-राम,0
232712,,भूरिसख,a,ap----a--a,,,,/bʱuː.ɹi.sə.kʰə/,भू॔रि-सख,0
232713,25654,भूरिस्थात्र,a,ap----a--a,,,,/bʱuː.ˈɹis.t̪ʰɑːt̪.ɹə/,भू॔रि-स्थात्र,0
232714,25591,भूरितर,a,ap----a--a,,,,/bʱuː.ɹi.t̪ə.ɹə/,भू॔रि-तर,0
232715,,भूरितेजस्,a,ap----a-sa,,,,/bʱuː.ɹi.t̪eː.d͡ʑəs/,भू॔रि-तेजस्,0
232716,25594,भूरितेजस्,n,n-----m-sa,,,,/bʱuː.ɹi.t̪eː.d͡ʑəs/,भू॔रि-तेजस्,0
232717,,भूरितेजस,a,ap----a--a,,,,/bʱuː.ɹi.t̪eː.d͡ʑə.sə/,भू॔रि-तेजस,0
232718,25595,भूरितोक,a,ap----a--a,,,,/bʱuː.ɹi.t̪oː.kə/,भू॔रि-तोक,0
232719,25592,भूरिता,n,n-----f--ā,,,,/bʱuː.ɹi.t̪ɑː/,भू॔रि-ता,0
232720,,भूरिवर्चस्,a,ap----a-sa,,,,/bʱuː.ɹi.ˈʋəɹ.t͡ɕəs/,भू॔रि-वर्चस्,0
232721,,भूरिवर्पस्,a,ap----a-sa,,,,/bʱuː.ɹi.ˈʋəɹ.pəs/,भू॔रि-वर्पस्,0
232722,25640,भूरिवसु,n,n-----m--u,,,,/bʱuː.ɹi.ʋə.su/,भू॔रि-वसु,0
232723,25645,भूरिवेतस,a,ap----a--a,,,,/bʱuː.ɹi.ʋeː.t̪ə.sə/,भू॔रि-वेतस,0
232724,,भूरिविक्रम,a,ap----a--a,,,,/bʱuː.ɹi.ˈʋik.ɹə.mə/,भू॔रि-विक्रम,0
232725,25643,भूरिवियोग,a,ap----a--a,,,,/bʱuː.ɹi.ʋi.joː.gə/,भू॔रि-वियोग,0
