c,430246,467785
1453555,+c,463268,357742
1453556,-c,357742,463268
1453557,+c,466591,357742
1453558,-c,357742,466591
1453559,+c,463268,357743
1453560,-c,357743,463268
1453561,+c,466591,357743
1453562,-c,357743,466591
1453563,+c,463268,357776
1453564,-c,357776,463268
1453565,+c,410695,357776
1453566,-c,357776,410695
1453567,+c,463268,356605
1453568,-c,356605,463268
1453569,+c,463268,356606
1453570,-c,356606,463268
1453571,+c,462507,356606
1453572,-c,356606,462507
1453573,+c,463268,356616
1453574,-c,356616,463268
1453575,+c,338914,356616
1453576,-c,356616,338914
1453577,+c,463268,356607
1453578,-c,356607,463268
1453579,+c,338839,356607
1453580,-c,356607,338839
1453581,+c,463268,356608
1453582,-c,356608,463268
1453583,+c,338853,356608
1453584,-c,356608,338853
1453585,+c,463268,356609
1453586,-c,356609,463268
1453587,+c,338853,356609
1453588,-c,356609,338853
1453589,+c,463268,356610
1453590,-c,356610,463268
1453591,+c,338860,356610
1453592,-c,356610,338860
1453593,+c,463268,356612
1453594,-c,356612,463268
1453595,+c,463268,356613
1453596,-c,356613,463268
1453597,+c,338872,356613
1453598,-c,356613,338872
1453599,+c,463268,356614
1453600,-c,356614,463268
1453601,+c,463268,356611
1453602,-c,356611,463268
1453603,+c,338865,356611
1453604,-c,356611,338865
1453605,+c,463268,356615
1453606,-c,356615,463268
1453607,+c,338912,356615
1453608,-c,356615,338912
1453609,+c,463268,356630
1453610,-c,356630,463268
1453611,+c,340436,356630
1453612,-c,356630,340436
1453613,+c,463268,356602
1453614,-c,356602,463268
1453615,+c,463268,356604
1453616,-c,356604,463268
1453617,+c,463268,356603
1453618,-c,356603,463268
1453619,+c,463268,356631
1453620,-c,356631,463268
1453621,+c,463268,356632
1453622,-c,356632,463268
1453623,+c,340469,356632
1453624,-c,356632,340469
1453625,+c,463268,356633
1453626,-c,356633,463268
1453627,+c,340471,356633
1453628,-c,356633,340471
1453629,+c,463268,356672
1453630,-c,356672,463268
1453631,+c,342326,356672
1453632,-c,356672,342326
1453633,+c,463268,356601
1453634,-c,356601,463268
1453635,+c,338041,356601
1453636,-c,356601,338041
1453637,+c,460721,356598
1453638,-c,356598,460721
1453639,+c,463268,356618
1453640,-c,356618,463268
1453641,+c,463268,356623
1453642,-c,356623,463268
1453643,+c,463268,356619
1453644,-c,356619,463268
1453645,+c,252798,356619
1453646,-c,356619,252798
1453647,+c,463268,356620
1453648,-c,356620,463268
1453649,+c,461469,356620
1453650,-c,356620,461469
1453651,+c,463268,356621
1453652,-c,356621,463268
