136797,मीमांसामकरन्द,n,n-----m--a,,,,/miː.mɑː̃.sɑː.mə.kə.ɹən.d̪ə/,मीमांसा॔-मकरन्द,0
302347,136404,मूचीप,n,n-----m--a,,,,/muː.t͡ɕiː.pə/,मूचीप,0
302348,,मूजवत्,n,n-----m--c,,,,/muː.d͡ʑə.ʋət̪/,मू॔जवत्,0
302349,136406,मूजालदेव,n,n-----m--a,,,,/muː.d͡ʑɑː.lə.d̪eː.ʋə/,मूजाल-देव,0
302350,137517,मूक,n,n-----m--a,,,,/muː.kə/,मू॔क,0
302351,137516,मूक,a,ap----a--a,,ap----f--ā=>ा,,/muː.kə/,मू॔क,0
302356,,मूकभाव,n,n-----m--a,,,,/muː.kə.bʱɑː.ʋə/,मू॔क-भाव,0
302357,136391,मूककवि,n,n-----m--i,,,,/muː.kə.kə.ʋi/,मू॔क-कवि,0
302358,136403,मूकलराय,n,n-----m--a,,,,/muː.kə.lə.ɹɑː.jə/,मूकलराय,0
302359,136392,मूकपञ्चशती,n,n-----f--ī,,,,/muː.kə.pəɲ.t͡ɕə.ɕə.t̪iː/,मू॔क-पञ्चशती,0
302360,136393,मूकप्रश्न,n,n-----m--a,,,,/muːkəpɹəɕnə/,मू॔क-प्रश्न,0
302361,,मूकत्व,n,n-----n--a,,,,/muː.ˈkət̪.ʋə/,मू॔क-त्व,0
302362,,मूकता,n,n-----f--ā,,,,/muː.kə.t̪ɑː/,मू॔क-ता,0
302363,,मूकवत्,r,rp--------,,,,/muː.kə.ʋət̪/,मू॔क-वत्,0
302364,136398,मूकिमन्,n,n-----m--n,,,,/muː.ki.mən/,मूकिमन्,0
302365,136397,मूकित,a,ap----a--a,,,,/muː.ki.t̪ə/,मूकित,0
302366,137518,मूका,n,n-----f--ā,,,,/muː.kɑː/,मू॔का,0
302367,,मूकाम्बिका,n,n-----f--ā,,,,/muː.kɑːm.bi.kɑː/,मूका॔म्बिका,0
302368,,मूकाम्बिकास्तोत्र,n,n-----n--a,,,,/muː.kɑːm.bi.kɑːs.t̪oːt̪.ɹə/,मूका॔म्बिका-स्तोत्र,0
