,229493,,,
90364,269568,214938,,,
90365,390273,189562,,,
90366,209345,188649,,,
90367,209345,182791,,,
90368,271658,149212,,,
90369,271656,182802,,,
90370,409752,193424,,,
90371,409752,182827,,,
90372,248847,194391,,,
90373,248847,191820,,,
90374,248847,191835,,,
90375,248847,189296,,,
90376,248847,194593,,,
90377,239226,186945,,,
90378,227287,190009,,,
90379,227287,194576,,,
90380,227287,191823,,,
90381,227287,189656,,,
90382,301960,186940,,,
90383,301960,196987,,,
90384,301961,215357,,,
90385,225441,194576,,,
90386,388241,194120,,,
90387,394442,194576,,,
90388,269195,129879,,,
90389,355626,169991,,,
90390,355626,175394,,,
90391,355626,174932,,,
90392,355626,176464,,,
90393,355626,175065,,,
90394,254052,185275,,,
90395,226314,185275,,,
90396,423277,187122,,,
90397,423276,235132,,,
90398,299968,232016,,,
90399,299968,193694,,,
90400,299968,182697,,,
90401,299975,145714,,,
90402,300015,193694,,,
90403,276406,187122,,,
90404,375781,229339,,,
90405,375781,227651,,,
90406,215898,165538,,,
90407,215898,165540,,,
90408,215897,195961,,,
90409,215897,187113,,,
90410,215896,145714,,,
90411,326195,104178,,,
90412,326195,108380,,,
90413,326195,123056,,,
90414,229938,232642,,,
90415,229938,118988,,,
90416,229938,121439,,,
90417,229938,155428,,,
90418,229938,166885,,,
90419,229938,123056,,,
90420,229939,188019,,,
90421,228563,118988,,,
90422,228563,123056,,,
90423,228563,121439,,,
90424,208755,233877,,,
90425,208755,116245,,,
90426,208753,188037,,,
90427,383684,164087,,,
90428,383684,130500,,,
90429,383684,165653,,,
90430,327210,164345,,,
90431,286791,164946,,,
90432,285953,165136,,,
90433,285953,153857,,,
90434,285953,164946,,,
90435,285957,164946,,,
90436,285957,165136,,,
90437,422686,164947,,,
90438,422686,164648,,,
90439,425519,164947,,,
90440,277135,227822,,,
90441,270085,214584,,,
90442,334368,228202,,,
90443,274852,130491,,,
90444,276297,130491,,,
90445,398091,129634,,,
90446,398091,164458,,,
90447,398091,137241,,,
90448,416647,138667,,,
90449,219262,232221,,,
90450,219262,164846,,,
90451,219262,164558,,,
90452,219262,228195,,,
90453,312021,129763,,,
90454,278026,223118,,,
90455,425873,228072,,,
90456,425875,183653,,,
90457,425875,183651,,,
90458,249302,164992,,,
90459,413938,165193,,,
90460,413938,128071,,,
90461,413938,128107,,,
90462,413938,161468,,,
90463,413938,107696,,,
90464,258509,165194,,,
90465,328761,165194,,,
90466,328761,227643,,,
90467,388427,103677,,,
90468,388423,103677,,,
90469,298018,211620,,,
90470,298018,214979,,,
90471,298018,164250,,,
90472,404999,188037,,,
90473,381924,195886,,,
90474,381924,234306,,,
90475,257378,232343,,,
90476,395491,170972,,,
90477,395491,170163,,,
90478,395491,169723,,,
90479,395491,169847,,,
90480,395491,171374,,,
90481,395491,170969,,,
90482,395491,176678,,,
90483,395491,174855,,,
90484,395491,177471,,,
90485,395491,170743,,,
90486,402740,195877,,,
90487,402740,187524,,,
90488,402740,188874,,,
90489,402740,188065,,,
90490,217224,184287,,,
90491,277550,170207,,,
90492,277550,170221,,,
90493,277550,176249,,,
90494,422327,188082,,,
90495,422327,186232,,,
90496,422327,194069,,,
90497,310358,234151,,,
90498,310358,195419,,,
90499,310358,195578,,,
90500,310358,195418,,,
90501,212887,193737,,,
90502,212887,232278,,,
90503,212887,187038,,,
90504,212887,229479,,,
90505,212887,191398,,,
90506,212887,183062,,,
90507,212889,219058,,,
90508,301809,129247,,,
90509,301809,211795,,,
90510,301809,137218,,,
90511,301809,137267,,,
90512,220676,128494,,,
90513,321662,138632,,,
90514,321662,162712,,,
90515,321662,128617,,,
90516,278343,232304,,,
90517,278343,138632,,,
90518,278343,128438,,,
90519,220684,129224,,,
90520,220684,129231,,,
90521,220684,165189,,,
90522,285804,129224,,,
90523,297719,167284,,,
90524,297719,127514,,,
90525,358891,129215,,,
90526,358891,128883,,,
90527,358891,129281,,,
90528,358891,145187,,,
90529,295780,129760,,,
90530,295780,228337,,,
90531,244364,125186,,,
90532,244364,129215,,,
90533,244364,227534,,,
90534,244364,128528,,,
90535,296257,129506,,,
