,+c,464661,226867
1380268,-c,234989,258562
1380269,+c,234962,234990
1380270,-c,234990,234962
1380271,+c,258562,234990
1380272,-c,234990,258562
1380273,+c,234962,234991
1380274,-c,234991,234962
1380275,+c,258562,234991
1380276,-c,234991,258562
1380277,+c,234962,234993
1380278,-c,234993,234962
1380279,+c,378440,234977
1380280,-c,234977,378440
1380281,+c,464661,234976
1380282,-c,234976,464661
1380283,+c,235004,235005
1380284,-c,235005,235004
1380285,+c,464661,235005
1380286,-c,235005,464661
1380287,+c,235010,235014
1380288,-c,235014,235010
1380289,+c,464661,235014
1380290,-c,235014,464661
1380291,+c,235010,235011
1380292,-c,235011,235010
1380293,+c,235010,235013
1380294,-c,235013,235010
1380295,+c,464661,235012
1380296,-c,235012,464661
1380297,+c,235017,235019
1380298,-c,235019,235017
1380299,+c,235017,235018
1380300,-c,235018,235017
1380301,+c,235532,235534
1380302,-c,235534,235532
1380303,+c,235532,235536
1380304,-c,235536,235532
1380305,+c,378440,235536
1380306,-c,235536,378440
1380307,+c,235532,235533
1380308,-c,235533,235532
1380309,+c,251336,234934
1380310,-c,234934,251336
1380311,+c,240432,234934
1380312,-c,234934,240432
1380313,+c,426684,234935
1380314,-c,234935,426684
1380315,+c,457070,235585
1380316,-c,235585,457070
1380317,+c,457068,235554
1380318,-c,235554,457068
1380319,+c,457068,235565
1380320,-c,235565,457068
1380321,+c,457068,235564
1380322,-c,235564,457068
1380323,+c,457068,235563
1380324,-c,235563,457068
1380325,+c,457068,235557
1380326,-c,235557,457068
1380327,+c,457068,235558
1380328,-c,235558,457068
1380329,+c,457068,235556
1380330,-c,235556,457068
1380331,+c,457068,235555
1380332,-c,235555,457068
1380333,+c,457068,235560
1380334,-c,235560,457068
1380335,+c,339572,235560
1380336,-c,235560,339572
1380337,+c,457068,235559
1380338,-c,235559,457068
1380339,+c,339572,235559
1380340,-c,235559,339572
1380341,+c,457068,235559
1380342,-c,235559,457068
1380343,+c,339572,235559
1380344,-c,235559,339572
1380345,+c,457068,235562
1380346,-c,235562,457068
1380347,+c,457069,235566
1380348,-c,235566,457069
1380349,+c,457069,235568
1380350,-c,235568,457069
1380351,+c,457069,235569
1380352,-c,235569,457069
1380357,+c,457069,235570
1380358,-c,235570,457069
1380361,+c,457069,235573
1380362,-c,235573,457069
1380363,+c,459053,235573
1380364,-c,235573,459053
1380365,+c,457069,235574
1380366,-c,235574,457069
1380367,+c,459055,235574
1380368,-c,235574,459055
1380369,+c,258562,235574
1380370,-c,235574,258562
1380371,+c,457069,235580
1380372,-c,235580,457069
1380373,+c,457069,235575
1380374,-c,235575,457069
1380375,+c,460371,235575
1380376,-c,235575,460371
1380377,+c,457069,235576
1380378,-c,235576,457069
1380379,+c,460657,235576
1380380,-c,235576,460657
1380381,+c,457069,235577
1380382,-c,235577,457069
1380383,+c,457069,235579
1380384,-c,235579,457069
1380385,+c,430970,235579
1380386,-c,235579,430970
1380387,+c,457069,235578
1380388,-c,235578,457069
1380389,+c,271290,235308
1380390,-c,235308,271290
1380391,+c,283731,235330
1380392,-c,235330,283731
1380397,+c,459656,235334
1380398,-c,235334,459656
1380401,+c,236838,235333
1380402,-c,235333,236838
1380403,+c,285577,235335
1380404,-c,235335,285577
1380405,+c,275532,235316
1380406,-c,235316,275532
1380407,+c,278409,235317
1380408,-c,235317,278409
1380409,+c,459656,235324
1380410,-c,235324,459656
1380411,+c,459656,235325
1380412,-c,235325,459656
1380413,+c,459656,235326
1380414,-c,235326,459656
1380415,+c,389945,235326
1380416,-c,235326,389945
1380417,+c,254348,235282
1380418,-c,235282,254348
1380419,+c,336622,235285
1380420,-c,235285,336622
1380421,+c,255108,235283
1380422,-c,235283,255108
1380423,+c,409496,235289
1380424,-c,235289,409496
1380425,+c,466594,235293
1380426,-c,235293,466594
1380427,+c,239377,235275
1380428,-c,235275,239377
1380429,+c,241105,235277
1380430,-c,235277,241105
1380431,+c,374984,235402
1380432,-c,235402,374984
1380433,+c,378440,235404
1380434,-c,235404,378440
1380435,+c,464661,235403
1380436,-c,235403,464661
1380437,+c,461536,235358
1380438,-c,235358,461536
1380439,+c,336178,235371
1380440,-c,235371,336178
1380441,+c,335723,235370
1380442,-c,235370,335723
1380443,+c,234745,235266
1380444,-c,235266,234745
1380445,+c,456958,235263
1380446,-c,235263,456958
1380447,+c,456958,235255
1380448,-c,235255,456958
1380449,+c,232034,235256
1380450,-c,235256,232034
1380451,+c,407487,235256
1380452,-c,235256,407487
1380453,+c,233124,235257
1380454,-c,235257,233124
1380455,+c,233124,235258
1380456,-c,235258,233124
1380457,+c,251969,235250
1380458,-c,235250,251969
1380459,+c,251336,235250
1380460,-c,235250,251336
1380461,+c,460512,235344
1380462,-c,235344,460512
1380463,+c,295838,235342
1380464,-c,235342,295838
1380465,+c,295838,235343
1380466,-c,235343,295838
1380469,+c,456858,235347
1380470,-c,235347,456858
1380471,+c,338853,235372
1380472,-c,235372,338853
1380473,+c,338853,235373
1380474,-c,235373,338853
1380475,+c,338914,235374
1380476,-c,235374,338914
1380477,+c,338914,235375
1380478,-c,235375,338914
1380479,+c,338914,235376
1380480,-c,235376,338914
1380481,+c,340470,235377
1380482,-c,235377,340470
1380483,+c,342402,235379
1380484,-c,235379,342402
1380485,+c,457743,235385
1380486,-c,235385,457743
1380487,+c,288229,235337
1380488,-c,235337,288229
1380489,+c,290235,235338
1380490,-c,235338,290235
1380491,+c,386409,235406
1380492,-c,235406,386409
1380493,+c,464661,235387
1380494,-c,235387,464661
1380495,+c,355103,235390
1380496,-c,235390,355103
1380497,+c,463136,235388
1380498,-c,235388,463136
1380499,+c,464250,235398
1380500,-c,235398,464250
1380501,+c,463707,235394
1380502,-c,235394,463707
1380503,+c,262262,235297
1380504,-c,235297,262262
1380507,+c,235514,235515
1380508,-c,235515,235514
1380509,+c,336595,235516
1380510,-c,235516,336595
1380511,+c,328947,235516
1380512,-c,235516,328947
1380513,+c,235484,235485
1380514,-c,235485,235484
1380515,+c,235482,235483
1380516,-c,235483,235482
1380517,+c,378440,235483
1380518,-c,235483,378440
1380519,+c,259173,235498
1380520,-c,235498,259173
1380521,+c,235495,235496
1380522,-c,235496,235495
1380523,+c,235505,235506
1380524,-c,235506,235505
1380525,+c,235505,235507
1380526,-c,235507,235505
1380527,+c,235505,235508
1380528,-c,235508,235505
1380529,+c,235517,235519
1380530,-c,235519,235517
1380531,+c,389945,235520
1380532,-c,235520,389945
1380533,+c,235511,235512
1380534,-c,235512,235511
1380535,+c,386002,235512
1380536,-c,235512,386002
1380537,+c,262262,235490
1380538,-c,235490,262262
1380539,+c,464661,235313
1380540,-c,235313,464661
1380541,+c,462149,235310
1380542,-c,235310,462149
1380543,+c,262262,235307
1380544,-c,235307,262262
1380545,+c,378440,235462
1380546,-c,235462,378440
1380547,+c,464661,235461
1380548,-c,235461,464661
1380549,+c,460512,235460
1380550,-c,235460,460512
1380551,+c,235470,235471
1380552,-c,235471,235470
1380553,+c,235470,235472
1380554,-c,235472,235470
1380555,+c,378440,235472
1380556,-c,235472,378440
1380557,+c,457061,235441
1380558,-c,235441,457061
1380559,+c,457061,235442
1380560,-c,235442,457061
1380561,+c,232034,235452
1380562,-c,235452,232034
1380563,+c,457075,235595
1380564,-c,235595,457075
1380565,+c,426435,235669
1380566,-c,235669,426435
1380567,+c,235675,235685
1380568,-c,235685,235675
1380569,+c,235675,235684
1380570,-c,235684,235675
1380571,+c,235675,235680
1380572,-c,235680,235675
1380573,+c,235675,235677
1380574,-c,235677,235675
1380575,+c,235675,235678
1380576,-c,235678,235675
1380577,+c,235675,235679
1380578,-c,235679,235675
1380579,+c,235675,235690
1380580,-c,235690,235675
1380581,+c,235675,235691
1380582,-c,235691,235675
1380583,+c,235675,235694
1380584,-c,235694,235675
1380585,+c,235675,235692
1380586,-c,235692,235675
1380587,+c,235675,235693
1380588,-c,235693,235675
1380589,+c,235675,235676
1380590,-c,235676,235675
1380591,+c,235675,235689
1380592,-c,235689,235675
1380593,+c,235675,235688
1380594,-c,235688,235675
1380595,+c,298911,235688
1380596,-c,235688,298911
1380597,+c,235675,235687
1380598,-c,235687,235675
1380599,+c,235675,235697
1380600,-c,235697,235675
1380601,+c,235675,235698
1380602,-c,235698,235675
1380603,+c,232000,235698
1380604,-c,235698,232000
1380605,+c,235675,235699
1380606,-c,235699,235675
1380607,+c,235675,235696
1380608,-c,235696,235675
1380609,+c,235675,235695
1380610,-c,235695,235675
1380611,+c,235675,235681
1380612,-c,235681,235675
1380613,+c,262249,235681
1380614,-c,235681,262249
1380615,+c,235705,235706
1380616,-c,235706,235705
1380617,+c,235705,235707
1380618,-c,235707,235705
1380619,+c,235028,235216
1380620,-c,235216,235028
1380621,+c,235030,235031
1380622,-c,235031,235030
1380623,+c,272156,235086
1380624,-c,235086,272156
1380625,+c,280862,235090
1380626,-c,235090,280862
1380627,+c,459747,235089
1380628,-c,235089,459747
1380629,+c,240432,235061
1380630,-c,235061,240432
1380631,+c,303696,235069
1380632,-c,235069,303696
1380633,+c,300505,235069
1380634,-c,235069,300505
1380635,+c,233124,235058
1380636,-c,235058,233124
1380637,+c,460503,235114
1380638,-c,235114,460503
1380639,+c,466591,235151
1380640,-c,235151,466591
1380641,+c,338914,235130
1380642,-c,235130,338914
1380643,+c,288229,235104
1380644,-c,235104,288229
1380645,+c,288224,235103
1380646,-c,235103,288224
1380647,+c,406617,235148
1380648,-c,235148,406617
1380649,+c,406617,235148
1380650,-c,235148,406617
1380651,+c,233204,235132
1380652,-c,235132,233204
1380653,+c,235028,235225
1380654,-c,235225,235028
1380655,+c,457058,235167
1380656,-c,235167,457058
1380657,+c,225740,235167
1380658,-c,235167,225740
1380659,+c,457058,235169
1380660,-c,235169,457058
1380661,+c,457055,235092
1380662,-c,235092,457055
1380663,+c,457055,235088
1380664,-c,235088,457055
1380665,+c,457055,235070
1380666,-c,235070,457055
1380667,+c,457055,235071
1380668,-c,235071,457055
1380669,+c,457055,235074
1380670,-c,235074,457055
1380671,+c,457055,235073
1380672,-c,235073,457055
1380673,+c,457055,235063
1380674,-c,235063,457055
1380675,+c,457055,235065
1380676,-c,235065,457055
1380677,+c,457055,235066
1380678,-c,235066,457055
1380679,+c,457530,235066
1380680,-c,235066,457530
1380681,+c,457055,235064
1380682,-c,235064,457055
1380683,+c,242080,235064
1380684,-c,235064,242080
1380685,+c,457055,235050
1380686,-c,235050,457055
1380687,+c,457055,235056
1380688,-c,235056,457055
1380689,+c,232008,235056
1380690,-c,235056,232008
1380691,+c,457055,235117
